user_id,user_type,hdyhau,plan_name,created_at,plan_started_at,plan_canceled_at,trial_started_at,trial_ended_at,converted_from_trial
1,teacher,search,free,2025-08-14 14:31:31.574153,,,,,
2,professional,search,free,2025-08-31 05:51:45.931002,,,,,
3,teacher,chatgpt,free,2025-08-12 11:52:25.057307,,,,,
4,student,friend,premium,2025-08-26 12:08:03.882223,2025-08-26 12:32:44.543606,,,,False
5,teacher,search,free,2025-08-02 23:28:48.074932,,,,,
6,professional,chatgpt,premium,2025-08-11 23:46:01.998513,2025-09-05 21:09:05.754647,,,,False
7,student,friend,free,2025-08-15 11:14:25.069661,,,,,
8,student,chatgpt,free,2025-08-24 02:06:10.213621,,,,,
9,student,friend,free,2025-08-06 20:57:59.898700,,,,,
10,student,social_media,free,2025-08-08 00:49:13.773589,,,,,
11,professional,friend,free,2025-08-22 16:59:49.348938,,,,,
12,teacher,friend,free,2025-08-13 00:17:01.702916,,,,,
13,teacher,search,free,2025-08-01 05:28:39.095939,,,,,
14,student,search,free,2025-08-22 20:38:34.244947,,,,,
15,student,social_media,free,2025-08-04 13:12:37.234429,,,,,
16,teacher,social_media,free,2025-08-24 17:09:32.174704,,,2025-09-13 18:20:44.280043,2025-09-20 18:20:44.280043,
17,student,friend,free,2025-08-10 10:08:19.638701,,,,,
18,student,search,free,2025-08-13 15:56:42.710823,,,,,
19,teacher,social_media,free,2025-08-10 02:26:01.227209,,,,,
20,student,social_media,free,2025-08-25 07:13:12.179372,,,,,
21,student,friend,free,2025-08-06 04:13:40.101708,,,,,
22,teacher,friend,free,2025-08-15 07:38:11.511628,,,,,
23,student,friend,free,2025-08-14 19:56:24.522341,2025-09-09 00:29:41.315448,2025-09-10 16:53:57.193149,2025-09-02 18:29:40.789524,2025-09-09 18:29:40.789524,True
24,student,friend,free,2025-08-20 12:55:48.267127,,,,,
25,teacher,chatgpt,free,2025-08-30 19:39:05.742832,,,,,
26,professional,chatgpt,free,2025-08-09 05:48:25.838903,,,,,
27,student,friend,premium,2025-08-14 22:19:29.397980,2025-08-14 23:17:47.154548,,,,False
28,student,friend,free,2025-08-15 03:05:50.758914,,,,,
29,professional,search,free,2025-08-27 13:19:14.841899,,,,,
30,teacher,social_media,free,2025-08-20 10:43:03.371629,,,,,
31,student,friend,free,2025-08-02 06:57:39.361658,2025-09-19 02:35:21.077539,2025-09-19 20:24:18.972631,2025-09-12 09:44:33.958662,2025-09-19 09:44:33.958662,True
32,teacher,friend,free,2025-08-05 11:31:33.442935,,,,,
33,teacher,friend,free,2025-08-19 00:18:33.575512,,,2025-09-04 21:41:26.126445,2025-09-11 21:41:26.126445,
34,student,chatgpt,free,2025-08-01 16:57:57.865362,,,,,
35,student,friend,free,2025-08-03 13:33:03.949062,,,,,
36,student,friend,free,2025-08-18 17:21:55.843756,,,2025-09-06 13:36:56.076145,2025-09-13 13:36:56.076145,
37,professional,friend,free,2025-08-14 14:33:00.016370,,,,,
38,teacher,friend,free,2025-08-28 18:44:36.115135,,,,,
39,teacher,friend,free,2025-08-21 20:08:47.192958,,,,,
40,student,search,free,2025-08-23 12:53:01.647911,,,,,
41,student,social_media,free,2025-08-02 03:50:05.753050,,,,,
42,professional,friend,free,2025-08-26 01:20:19.934526,,,,,
43,student,chatgpt,free,2025-08-08 22:26:16.642611,,,,,
44,professional,friend,premium,2025-08-02 09:24:48.558070,2025-08-02 10:26:44.668132,,,,False
45,professional,search,free,2025-08-24 04:57:50.970705,,,,,
46,teacher,search,free,2025-08-10 19:03:04.056495,,,,,
47,student,search,free,2025-08-03 22:16:59.429269,,,,,
48,student,friend,free,2025-08-30 00:59:19.405577,,,,,
49,teacher,friend,free,2025-08-05 18:02:36.560363,,,,,
50,professional,friend,free,2025-08-07 02:08:50.412215,,,2025-09-12 20:44:55.424618,2025-09-19 20:44:55.424618,
51,student,friend,free,2025-08-16 12:33:04.692383,,,,,
52,student,social_media,free,2025-08-05 02:04:32.496297,,,,,
53,student,social_media,free,2025-08-22 12:31:51.813363,,,,,
54,student,search,premium,2025-08-23 04:15:45.740556,2025-09-07 15:50:48.837217,,2025-09-01 13:27:30.102845,2025-09-08 13:27:30.102845,True
55,student,friend,free,2025-08-29 18:06:22.609053,,,,,
56,professional,social_media,free,2025-08-16 03:30:23.018486,,,,,
57,teacher,social_media,free,2025-08-01 18:29:43.636869,,,,,
58,student,friend,free,2025-08-04 06:47:15.500309,,,,,
59,professional,chatgpt,premium,2025-08-19 11:27:19.778540,2025-08-29 06:15:20.378271,,,,False
60,student,friend,premium,2025-08-25 07:51:49.637714,2025-09-05 17:42:07.674944,,,,False
61,teacher,friend,free,2025-08-25 16:49:54.092553,,,,,
62,student,social_media,free,2025-08-27 21:35:51.146055,,,,,
63,professional,social_media,free,2025-08-14 04:51:22.154261,,,,,
64,student,friend,free,2025-08-15 01:41:56.955056,,,,,
65,teacher,friend,free,2025-08-04 06:19:36.703803,,,,,
66,student,friend,free,2025-08-26 13:32:59.743054,,,,,
67,student,friend,free,2025-08-09 19:49:53.983814,,,,,
68,student,friend,free,2025-08-02 17:12:51.008510,,,,,
69,student,friend,free,2025-08-22 02:27:05.107865,,,,,
70,student,search,free,2025-08-28 03:00:12.362276,,,,,
71,teacher,friend,free,2025-08-08 08:08:17.226021,,,,,
72,student,friend,free,2025-08-13 21:41:56.864741,,,,,
73,professional,friend,free,2025-08-26 20:05:34.557009,,,,,
74,professional,chatgpt,free,2025-08-27 03:37:10.306784,,,,,
75,professional,social_media,free,2025-08-25 03:55:51.865724,,,,,
76,professional,social_media,free,2025-08-17 14:50:04.091414,,,,,
77,student,friend,free,2025-08-20 19:50:05.626118,,,,,
78,student,friend,free,2025-08-15 19:32:26.012868,,,,,
79,student,friend,free,2025-08-12 08:35:45.171222,,,,,
80,professional,friend,free,2025-08-22 06:11:34.290726,,,,,
81,professional,social_media,free,2025-08-11 04:18:02.323123,,,2025-09-04 19:58:14.551505,2025-09-11 19:58:14.551505,
82,teacher,social_media,free,2025-08-25 22:28:02.267582,,,2025-09-13 04:46:29.490183,2025-09-20 04:46:29.490183,
83,teacher,friend,free,2025-08-23 18:45:37.111039,,,,,
84,teacher,friend,free,2025-08-27 16:22:29.091885,,,,,
85,student,chatgpt,free,2025-08-03 14:51:46.552804,,,,,
86,teacher,search,free,2025-08-30 17:24:23.891763,,,,,
87,student,chatgpt,free,2025-08-25 15:33:54.789617,,,,,
88,student,social_media,free,2025-08-03 22:42:59.675707,,,,,
89,teacher,friend,free,2025-08-18 17:53:17.316358,,,,,
90,teacher,friend,free,2025-08-25 18:38:16.249461,,,2025-09-12 03:12:06.360932,2025-09-19 03:12:06.360932,
91,student,friend,free,2025-08-04 17:04:54.323708,,,,,
92,teacher,search,free,2025-08-13 23:26:40.054229,,,,,
93,student,friend,free,2025-08-24 15:19:25.340182,,,,,
94,student,friend,free,2025-08-10 17:56:35.728539,,,,,
95,professional,friend,free,2025-08-14 13:48:01.735329,,,,,
96,student,search,free,2025-08-30 00:29:16.404608,,,,,
97,professional,search,free,2025-08-31 14:03:12.943294,,,,,
98,teacher,search,free,2025-08-04 16:08:52.902740,,,,,
99,student,social_media,free,2025-08-19 05:39:49.638860,,,,,
100,student,search,free,2025-08-15 02:00:44.774679,,,,,
101,professional,chatgpt,premium,2025-08-10 08:38:02.023312,2025-09-05 19:45:35.004722,,,,False
102,professional,chatgpt,free,2025-08-04 10:16:39.889424,,,,,
103,teacher,chatgpt,premium,2025-08-04 07:10:33.967745,2025-09-15 23:46:19.692541,,2025-09-09 18:54:29.029091,2025-09-16 18:54:29.029091,True
104,professional,friend,free,2025-08-21 03:41:34.191548,,,,,
105,student,search,free,2025-08-05 10:24:29.647424,,,,,
106,student,social_media,free,2025-08-29 05:30:52.516909,,,,,
107,professional,social_media,free,2025-08-02 14:26:00.513273,,,,,
108,student,search,free,2025-08-08 09:28:59.636216,,,,,
109,professional,social_media,free,2025-08-24 22:26:54.364053,2025-09-10 03:23:17.374438,2025-09-11 03:28:55.326130,2025-09-03 23:34:04.543885,2025-09-10 23:34:04.543885,True
110,teacher,friend,free,2025-08-07 06:07:33.003568,,,,,
111,professional,friend,free,2025-08-27 09:14:28.686471,,,,,
112,professional,search,free,2025-08-09 09:26:39.968771,,,,,
113,professional,friend,free,2025-08-20 02:32:01.328745,,,,,
114,student,friend,free,2025-08-06 08:48:25.450730,,,2025-09-02 06:17:32.430782,2025-09-09 06:17:32.430782,
115,teacher,search,premium,2025-08-15 05:10:08.366200,2025-08-30 18:01:19.705272,,,,False
116,student,chatgpt,free,2025-08-05 11:58:36.728965,,,2025-09-09 09:11:14.815119,2025-09-16 09:11:14.815119,
117,professional,social_media,free,2025-08-22 16:37:59.190211,,,,,
118,student,friend,free,2025-08-16 18:12:51.466304,,,,,
119,student,friend,free,2025-08-05 03:45:58.868989,,,,,
120,teacher,social_media,free,2025-08-14 06:21:35.539621,,,,,
121,student,social_media,free,2025-08-07 17:54:56.028277,,,,,
122,student,friend,free,2025-08-02 02:49:42.624069,,,,,
123,professional,social_media,free,2025-08-18 17:54:30.755616,,,,,
124,student,social_media,free,2025-08-21 02:04:24.566779,,,,,
125,teacher,friend,free,2025-08-18 00:33:47.767889,,,,,
126,professional,search,free,2025-08-16 21:28:40.280015,,,,,
127,professional,social_media,free,2025-08-16 14:42:09.923177,,,,,
128,student,friend,free,2025-08-26 23:00:44.081923,,,,,
129,student,friend,free,2025-08-27 02:26:33.774455,,,,,
130,student,friend,free,2025-08-11 08:35:33.566349,,,,,
131,professional,search,free,2025-08-01 10:55:26.513508,,,,,
132,student,social_media,free,2025-08-05 18:17:16.635231,,,2025-09-01 12:29:13.638595,2025-09-08 12:29:13.638595,
133,student,search,premium,2025-08-31 20:37:31.047904,2025-09-12 00:26:34.659761,,2025-09-06 21:49:44.425114,2025-09-13 21:49:44.425114,True
134,student,search,free,2025-08-22 07:37:21.380021,,,,,
135,student,social_media,free,2025-08-07 11:32:19.823743,,,,,
136,teacher,chatgpt,free,2025-08-26 22:12:36.575505,,,,,
137,student,friend,free,2025-08-31 16:47:56.555410,,,,,
138,student,search,free,2025-08-03 11:33:23.921269,,,,,
139,professional,friend,free,2025-08-05 16:06:02.342388,,,,,
140,student,friend,free,2025-08-02 09:13:08.075260,,,,,
141,student,friend,free,2025-08-19 04:18:54.164958,,,,,
142,teacher,search,free,2025-08-08 13:17:18.665275,,,,,
143,student,friend,free,2025-08-24 15:35:58.683292,,,,,
144,student,search,free,2025-08-11 11:48:41.506407,,,,,
145,teacher,chatgpt,free,2025-08-16 15:33:53.003017,,,,,
146,teacher,friend,free,2025-08-11 13:23:58.046322,,,2025-09-07 04:37:07.984441,2025-09-14 04:37:07.984441,
147,student,social_media,free,2025-08-29 10:29:56.304825,,,2025-09-06 11:57:16.935287,2025-09-13 11:57:16.935287,
148,student,friend,free,2025-08-11 12:06:30.595561,,,,,
149,student,social_media,free,2025-08-10 12:48:21.630437,,,,,
150,professional,social_media,free,2025-08-22 19:03:24.131494,,,,,
151,professional,chatgpt,free,2025-08-24 14:30:20.215799,,,,,
152,student,search,free,2025-08-25 05:48:41.867300,,,,,
153,professional,social_media,free,2025-08-18 03:30:32.671275,,,2025-09-01 04:07:10.460809,2025-09-08 04:07:10.460809,
154,professional,search,free,2025-08-09 22:26:30.244487,,,2025-09-13 03:07:50.984935,2025-09-20 03:07:50.984935,
155,student,search,free,2025-08-02 06:27:52.297482,,,,,
156,professional,friend,free,2025-08-31 13:14:29.804435,,,,,
157,teacher,friend,free,2025-08-25 14:29:57.478378,,,,,
158,professional,chatgpt,free,2025-08-25 20:43:56.131403,,,,,
159,student,friend,free,2025-08-12 13:17:25.578254,,,,,
160,professional,search,free,2025-08-21 22:25:37.920517,,,,,
161,student,search,free,2025-08-23 22:08:12.505736,,,,,
162,student,search,free,2025-08-20 06:41:30.374310,,,,,
163,professional,friend,free,2025-08-01 22:01:40.133595,,,,,
164,student,search,free,2025-08-08 08:49:03.922767,,,,,
165,student,friend,free,2025-08-19 07:11:53.169645,,,,,
166,student,friend,free,2025-08-06 19:34:10.730113,,,,,
167,student,chatgpt,free,2025-08-26 00:43:44.006015,,,,,
168,professional,social_media,free,2025-08-05 05:47:41.974253,,,,,
169,student,chatgpt,free,2025-08-13 03:55:20.986113,,,2025-09-06 08:17:34.404583,2025-09-13 08:17:34.404583,
170,student,friend,free,2025-08-12 07:50:29.310454,,,,,
171,student,friend,free,2025-08-20 16:05:52.011107,,,2025-09-02 21:30:17.283738,2025-09-09 21:30:17.283738,
172,teacher,search,free,2025-08-30 17:39:05.157178,,,,,
173,professional,friend,free,2025-08-08 06:54:43.882756,,,2025-09-12 17:16:57.437501,2025-09-19 17:16:57.437501,
174,teacher,search,free,2025-08-17 09:58:44.911333,,,,,
175,student,friend,free,2025-08-08 11:34:50.688489,,,2025-09-08 08:13:01.043411,2025-09-15 08:13:01.043411,
176,professional,social_media,free,2025-08-09 18:44:08.302770,,,,,
177,teacher,chatgpt,free,2025-08-15 18:20:07.099061,,,,,
178,student,search,free,2025-08-28 23:29:59.648603,,,,,
179,professional,social_media,free,2025-08-04 03:48:33.209057,,,,,
180,professional,friend,free,2025-08-14 10:07:53.091925,,,,,
181,student,friend,free,2025-08-08 15:04:24.566188,,,,,
182,student,friend,free,2025-08-16 23:58:09.050799,,,,,
183,student,social_media,free,2025-08-02 21:01:59.342165,,,,,
184,student,friend,premium,2025-08-10 08:44:28.187759,2025-08-24 20:58:45.331648,,,,False
185,student,search,free,2025-08-04 11:22:49.169613,,,,,
186,student,friend,free,2025-08-16 18:04:34.937642,,,,,
